,County,Precinct,Registered Voters
199,Carroll,Lakeshore Rec Center,1671
200,Carroll,Bonner,3736
201,Carroll,University of W GA,2164
202,Carroll,County Admin Bldg,2620
203,Carroll,Tabernacle Church,1628
204,Carroll,Burson Center,1466
205,Carroll,Old Camp Church,2297
206,Carroll,Oak Grove,1668
207,Catoosa,Blackstock,1952
208,Catoosa,Boynton,6027
209,Catoosa,Catoosa Keith,2611
210,Catoosa,Chambers,2552
211,Catoosa,Ft Oglethorpe,4054
212,Catoosa,Graysville,4501
213,Catoosa,Lakeview,3572
214,Catoosa,Poplar Springs,4191
215,Catoosa,Ringgold,7414
216,Catoosa,Westside,5895
217,Catoosa,Woodstation,2946
218,Charlton,Folkston,2420
219,Charlton,GA Bend,509
220,Charlton,St George,661
221,Charlton,American Legion,748
222,Charlton,Homeland,864
223,Charlton,Folkston Fire,767
224,Charlton,Racepond,266
225,Charlton,Winokur,317
226,Chatham,1-01C First Presbyterian Church,3187
227,Chatham,1-05C JEA Building,2106
228,Chatham,1-06C Central Church of Christ,2035
229,Chatham,1-08C Grace United Methodist Church,1667
230,Chatham,1-09C Immanuel Baptist Church,739
231,Chatham,1-10C St Thomas Episcopal Church,1101
232,Chatham,1-12C Isle of Hope Baptist,1909
233,Chatham,1-13C The Sanctuary,1396
234,Chatham,1-14C Compassion Christian Church,1718
235,Chatham,1-16C Ferguson Ave Baptist,2905
236,Chatham,1-17C Islands Christian Church,3136
237,Chatham,2-02C Blackshear Community Center,1714
238,Chatham,2-03C W W Law Center,1609
239,Chatham,2-04C Fellowship of Love Church,3178
240,Chatham,2-05C Holy Spirit Lutheran Church,2079
241,Chatham,2-06C Eli Whitney Complex,759
242,Chatham,2-07C Christ Community Church,2808
243,Chatham,2-09C Salvation Army,3342
244,Chatham,2-11C Stillwell Towers,1900
245,Chatham,2-12C Williams Court Apts,1683
246,Chatham,3-01C Old Courthouse,458
247,Chatham,3-02C Temple Mickve Israel,1598
248,Chatham,3-03C Savannah High School,1185
249,Chatham,3-04C First African Baptist Church,1558
250,Chatham,3-05C Aldersgate Youth Center,2107
251,Chatham,3-08C Jenkins High School,1210
252,Chatham,3-09C Cokesbury Methodist,664
253,Chatham,3-10C Bible Baptist Church,2640
254,Chatham,3-11C Southside Baptist Church,1481
255,Chatham,3-12C Thunderbolt Muni Complex,1678
256,Chatham,3-13C New Cov 7 Day Adv Ch,2303
257,Chatham,3-14C Oglethorpe Charter Academy,2381
258,Chatham,3-15C Eli Whitney Complex,816
259,Chatham,4-02C Frank Murray Comm Center,2472
260,Chatham,4-04C Lighthouse Baptist Church,2470
261,Chatham,4-05C St Francis Episcopal Church,2244
262,Chatham,4-06C First Baptist of the Island,2252
263,Chatham,4-07C Wilmington Island UMC,3370
264,Chatham,4-08C Wilmington Island Pres Church,2678
265,Chatham,4-10C Guard House Comm Ctr,1469
266,Chatham,4-11C Tybee Island School Cafe,1640
267,Chatham,4-12C St Peters Episcopal,2294
268,Chatham,4-13C Skidaway Island Pres Church,2469
269,Chatham,4-14C Skidaway Island Baptist,1744
270,Chatham,4-15C Skidaway Island State Park,0
271,Chatham,5-01C Bartlett Middle School,1063
272,Chatham,5-02C Senior Citizens Center,783
273,Chatham,5-03C Butler Presbyterian Church,1078
274,Chatham,5-05C Liberty City Comm Ctr,2574
275,Chatham,5-06C Seed Church,2598
276,Chatham,5-07C Station 1,1856
277,Chatham,5-08C Savannah Primitive BC,1848
278,Chatham,5-10C Tatumville Community Center,3507
279,Chatham,5-11C Largo-Tibet Elementary,3019
280,Chatham,6-01C White Bluff Presbyterian,1919
281,Chatham,6-02C Windsor Forest Baptist,2290
282,Chatham,6-03C Crusader Comm Center,2736
283,Chatham,6-05C Windsor Hall,1993
284,Chatham,6-06C The Light Church,1543
285,Chatham,6-08C Christ Memorial Baptist Church,2194
286,Chatham,6-09C Trinity Lutheran Church,3319
287,Chatham,6-10C Station 3,4184
288,Chatham,6-11C Bamboo Farms,5149
289,Chatham,7-01C Garden City Senior Ctr,1542
290,Chatham,7-03C PB Edwards Gym,1290
291,Chatham,7-04C Lake Shore Comm Ctr,3067
292,Chatham,7-05C Woodlawn Baptist Church,1305
293,Chatham,7-06C Pooler City Hall,3555
294,Chatham,7-07C Rothwell Baptist Church,3932
